test_id,category,has_pii,pii_type,input_text,redacted_text,is_redacted,outcome,mean_latency_us,p50_latency_us,p90_latency_us,p99_latency_us
26,Indian_Phone_Standard,True,phone,9876-543-210,[hidden],True,TP,1.04,1.0,1.1,1.202
27,Indian_Phone_Standard,True,phone,9123-456-789,[hidden],True,TP,1.036,1.0,1.1,1.2
28,Indian_Phone_Standard,True,phone,8901-234-567,[hidden],True,TP,1.126,1.0,1.1,1.282
29,Indian_Phone_Standard,True,phone,7890-123-456,[hidden],True,TP,1.054,1.05,1.1,1.2
30,Indian_Phone_Standard,True,phone,6381-234-567,[hidden],True,TP,6.561,1.8,2.52,18.364
31,Indian_Phone_Standard,True,phone,98-76-54-32-10,[hidden],True,TP,1.115,1.1,1.2,1.3
32,Indian_Phone_Standard,True,phone,91-23-45-67-89,[hidden],True,TP,1.163,1.1,1.2,1.32
33,Indian_Phone_Standard,True,phone,89-01-23-45-67,[hidden],True,TP,1.178,1.2,1.2,1.41
34,Indian_Phone_Standard,True,phone,78-90-12-34-56,[hidden],True,TP,2.209,1.4,3.11,6.59
35,Indian_Phone_Standard,True,phone,63-81-23-45-67,[hidden],True,TP,1.106,1.1,1.2,1.202
36,Indian_Phone_Standard,True,phone,09876543210,[hidden],True,TP,1.065,1.0,1.1,2.323
37,Indian_Phone_Standard,True,phone,09123456789,[hidden],True,TP,1.007,1.0,1.1,1.102
38,Indian_Phone_Standard,True,phone,08901234567,[hidden],True,TP,1.03,1.0,1.1,1.407
39,Indian_Phone_Standard,True,phone,07890123456,[hidden],True,TP,1.021,1.0,1.1,2.2
40,Indian_Phone_Standard,True,phone,06381234567,[hidden],True,TP,1.003,1.0,1.1,1.31
41,Indian_Phone_Standard,True,phone,044-24567890,[hidden],True,TP,1.026,1.0,1.1,1.102
42,Indian_Phone_Standard,True,phone,080-23456789,[hidden],True,TP,1.037,1.0,1.1,1.2
43,Indian_Phone_Standard,True,phone,022-26543210,[hidden],True,TP,1.055,1.1,1.1,1.201
44,Indian_Phone_Standard,True,phone,011-23345678,[hidden],True,TP,1.071,1.0,1.1,1.705
45,Indian_Phone_Standard,True,phone,040-27890123,[hidden],True,TP,1.075,1.1,1.1,1.31
46,Indian_Phone_Standard,True,phone,044 24567890,[hidden],True,TP,0.994,1.0,1.0,1.411
47,Indian_Phone_Standard,True,phone,080 23456789,[hidden],True,TP,1.024,1.0,1.1,2.2
48,Indian_Phone_Standard,True,phone,022 26543210,[hidden],True,TP,0.972,1.0,1.0,1.101
49,Indian_Phone_Standard,True,phone,011 23345678,[hidden],True,TP,1.049,1.0,1.1,2.2
50,Indian_Phone_Standard,True,phone,040 27890123,[hidden],True,TP,0.969,1.0,1.0,1.101
51,Indian_Phone_Prefixed,True,phone,+91 9876543210,[hidden],True,TP,1.017,1.0,1.1,1.104
52,Indian_Phone_Prefixed,True,phone,+91 9123456789,[hidden],True,TP,6.737,1.0,1.2,233.818
53,Indian_Phone_Prefixed,True,phone,+91 8901234567,[hidden],True,TP,1.033,1.0,1.1,1.2
54,Indian_Phone_Prefixed,True,phone,+91 7890123456,[hidden],True,TP,1.042,1.0,1.1,1.504
55,Indian_Phone_Prefixed,True,phone,+91 6381234567,[hidden],True,TP,1.744,1.0,1.1,2.299
56,Indian_Phone_Prefixed,True,phone,+91-9876543210,[hidden],True,TP,1.149,1.1,1.2,1.312
57,Indian_Phone_Prefixed,True,phone,+91-9123456789,[hidden],True,TP,1.131,1.1,1.2,1.6
58,Indian_Phone_Prefixed,True,phone,+91-8901234567,[hidden],True,TP,1.134,1.1,1.2,1.31
59,Indian_Phone_Prefixed,True,phone,+91-7890123456,[hidden],True,TP,1.105,1.1,1.2,1.201
60,Indian_Phone_Prefixed,True,phone,+91-6381234567,[hidden],True,TP,1.138,1.1,1.2,2.403
61,Indian_Phone_Prefixed,True,phone,+919876543210,[hidden],True,TP,1.866,1.7,2.3,4.543
62,Indian_Phone_Prefixed,True,phone,+919123456789,[hidden],True,TP,1.108,1.1,1.1,2.21
63,Indian_Phone_Prefixed,True,phone,+918901234567,[hidden],True,TP,1.096,1.1,1.1,1.309
64,Indian_Phone_Prefixed,True,phone,+917890123456,[hidden],True,TP,1.127,1.1,1.1,1.358
65,Indian_Phone_Prefixed,True,phone,+916381234567,[hidden],True,TP,1.1,1.1,1.2,2.202
66,Indian_Phone_Prefixed,True,phone,+91 98765 43210,[hidden],True,TP,1.053,1.0,1.1,1.311
67,Indian_Phone_Prefixed,True,phone,+91 91234 56789,[hidden],True,TP,1.039,1.0,1.1,1.209
68,Indian_Phone_Prefixed,True,phone,+91 89012 34567,[hidden],True,TP,1.076,1.0,1.2,2.102
69,Indian_Phone_Prefixed,True,phone,+91 78901 23456,[hidden],True,TP,1.084,1.0,1.2,2.121
70,Indian_Phone_Prefixed,True,phone,+91 63812 34567,[hidden],True,TP,1.01,1.0,1.1,1.2
71,Indian_Phone_Prefixed,True,phone,+91-98765-43210,[hidden],True,TP,1.196,1.1,1.2,2.039
72,Indian_Phone_Prefixed,True,phone,+91-91234-56789,[hidden],True,TP,1.195,1.2,1.2,1.413
73,Indian_Phone_Prefixed,True,phone,+91-89012-34567,[hidden],True,TP,7.811,1.1,1.2,264.7
74,Indian_Phone_Prefixed,True,phone,+91-78901-23456,[hidden],True,TP,1.15,1.1,1.2,1.202
75,Indian_Phone_Prefixed,True,phone,+91-63812-34567,[hidden],True,TP,1.185,1.1,1.2,1.837
76,Indian_Phone_Prefixed,True,phone,+91 987-654-3210,[hidden],True,TP,1.828,1.1,1.2,3.008
77,Indian_Phone_Prefixed,True,phone,+91 912-345-6789,[hidden],True,TP,1.132,1.1,1.2,2.003
78,Indian_Phone_Prefixed,True,phone,+91 890-123-4567,[hidden],True,TP,1.128,1.1,1.2,1.501
79,Indian_Phone_Prefixed,True,phone,+91 789-012-3456,[hidden],True,TP,1.138,1.1,1.2,2.3
80,Indian_Phone_Prefixed,True,phone,+91 638-123-4567,[hidden],True,TP,1.138,1.1,1.2,1.312
81,Indian_Phone_Prefixed,True,phone,+91 (0) 9876543210,+91 (0) [hidden],True,TP,1.419,1.4,1.51,2.402
82,Indian_Phone_Prefixed,True,phone,+91 (0) 9123456789,+91 (0) [hidden],True,TP,1.591,1.4,2.4,2.802
83,Indian_Phone_Prefixed,True,phone,+91 (98765) 43210,+91 (98765) 43210,False,FN,1.212,1.2,1.3,1.501
84,Indian_Phone_Prefixed,True,phone,+91 98765-43210,[hidden],True,TP,1.073,1.1,1.1,1.201
85,Indian_Phone_Prefixed,True,phone,+91 9876 543210,[hidden],True,TP,1.095,1.0,1.2,1.903
86,Indian_Phone_Prefixed,True,phone,91-9876543210,[hidden],True,TP,1.107,1.1,1.11,1.502
87,Indian_Phone_Prefixed,True,phone,91-9123456789,[hidden],True,TP,1.113,1.1,1.2,1.31
88,Indian_Phone_Prefixed,True,phone,91-8901234567,[hidden],True,TP,1.172,1.1,1.2,3.417
89,Indian_Phone_Prefixed,True,phone,91-7890123456,[hidden],True,TP,1.136,1.1,1.2,2.301
90,Indian_Phone_Prefixed,True,phone,91-6381234567,[hidden],True,TP,1.086,1.1,1.1,1.409
91,Indian_Phone_Prefixed,True,phone,91 98765 43210,[hidden],True,TP,1.007,1.0,1.1,1.201
92,Indian_Phone_Prefixed,True,phone,91 91234 56789,[hidden],True,TP,1.026,1.0,1.1,1.309
93,Indian_Phone_Prefixed,True,phone,91 89012 34567,[hidden],True,TP,1.05,1.0,1.1,2.201
94,Indian_Phone_Prefixed,True,phone,91 78901 23456,[hidden],True,TP,1.002,1.0,1.1,1.2
95,Indian_Phone_Prefixed,True,phone,91 63812 34567,[hidden],True,TP,1.03,1.0,1.2,1.302
96,Indian_Phone_Prefixed,True,phone,+91 44 2456 7890,[hidden],True,TP,1.018,1.0,1.1,1.201
97,Indian_Phone_Prefixed,True,phone,+91 80 2345 6789,[hidden],True,TP,1.031,1.0,1.1,1.2
98,Indian_Phone_Prefixed,True,phone,+91 22 2654 3210,[hidden],True,TP,1.08,1.0,1.1,2.205
99,Indian_Phone_Prefixed,True,phone,+91 11 2334 5678,[hidden],True,TP,1.083,1.0,1.11,2.301
100,Indian_Phone_Prefixed,True,phone,+91 40 2789 0123,[hidden],True,TP,1.059,1.0,1.1,2.103
101,International_Phone,True,phone,+1 202 555 0143,[hidden],True,TP,1.021,1.0,1.1,1.408
102,International_Phone,True,phone,+1-202-555-0143,[hidden],True,TP,1.142,1.1,1.2,1.301
103,International_Phone,True,phone,+12025550143,[hidden],True,TP,1.022,1.0,1.1,1.102
104,International_Phone,True,phone,+1 (202) 555-0143,+1 (202) 555-0143,False,FN,1.229,1.2,1.3,2.2
105,International_Phone,True,phone,+1 415 555 2671,[hidden],True,TP,1.03,1.0,1.1,1.806
106,International_Phone,True,phone,+44 20 7946 0958,[hidden],True,TP,1.034,1.0,1.1,2.301
107,International_Phone,True,phone,+44-20-7946-0958,[hidden],True,TP,1.236,1.2,1.3,1.637
108,International_Phone,True,phone,+442079460958,[hidden],True,TP,1.106,1.1,1.2,1.301
109,International_Phone,True,phone,+44 7700 900077,[hidden],True,TP,1.069,1.0,1.1,2.406
110,International_Phone,True,phone,+44-7700-900077,[hidden],True,TP,1.188,1.1,1.21,2.204
111,International_Phone,True,phone,+65 6789 0123,[hidden],True,TP,1.014,1.0,1.01,2.2
112,International_Phone,True,phone,+65-6789-0123,[hidden],True,TP,2.572,1.8,5.72,11.034
113,International_Phone,True,phone,+6567890123,[hidden],True,TP,1.095,1.0,1.1,1.387
114,International_Phone,True,phone,+65 9123 4567,[hidden],True,TP,1.011,1.0,1.01,1.901
115,International_Phone,True,phone,+65-9123-4567,[hidden],True,TP,1.234,1.1,1.2,1.444
116,International_Phone,True,phone,+61 2 9374 4000,[hidden],True,TP,2.155,1.0,1.1,3.381
117,International_Phone,True,phone,+61-2-9374-4000,[hidden],True,TP,1.205,1.2,1.2,2.302
118,International_Phone,True,phone,+61 412 345 678,[hidden],True,TP,0.989,1.0,1.0,1.201
119,International_Phone,True,phone,+61-412-345-678,[hidden],True,TP,1.204,1.2,1.2,1.441
120,International_Phone,True,phone,+61293744000,[hidden],True,TP,1.066,1.0,1.1,1.904
121,International_Phone,True,phone,+971 4 390 0000,[hidden],True,TP,0.981,1.0,1.0,1.102
122,International_Phone,True,phone,+971-4-390-0000,[hidden],True,TP,1.168,1.2,1.2,1.408
123,International_Phone,True,phone,+971 50 123 4567,[hidden],True,TP,1.01,1.0,1.1,1.303
124,International_Phone,True,phone,+971-50-123-4567,[hidden],True,TP,1.188,1.2,1.3,1.402
125,International_Phone,True,phone,+97143900000,[hidden],True,TP,1.079,1.0,1.1,1.441
126,International_Phone,True,phone,+49 30 22732152,[hidden],True,TP,1.183,1.1,2.01,2.404
127,International_Phone,True,phone,+49-30-22732152,[hidden],True,TP,1.474,1.2,2.11,3.42
128,International_Phone,True,phone,+49 151 23456789,[hidden],True,TP,1.102,1.1,1.2,2.102
129,International_Phone,True,phone,+49-151-23456789,[hidden],True,TP,1.198,1.2,1.3,1.41
130,International_Phone,True,phone,+493022732152,[hidden],True,TP,1.124,1.1,1.2,2.3
131,International_Phone,True,phone,+33 1 42 68 55 00,[hidden],True,TP,1.1,1.0,1.1,2.239
132,International_Phone,True,phone,+33-1-42-68-55-00,[hidden],True,TP,1.231,1.2,1.3,1.401
133,International_Phone,True,phone,+33 6 12 34 56 78,[hidden],True,TP,1.045,1.0,1.1,1.603
134,International_Phone,True,phone,+33-6-12-34-56-78,[hidden],True,TP,1.26,1.2,1.3,2.401
135,International_Phone,True,phone,+33142685500,[hidden],True,TP,1.027,1.0,1.1,1.102
136,International_Phone,True,phone,+81 3 5555 3800,[hidden],True,TP,1.043,1.0,1.1,1.312
137,International_Phone,True,phone,+81-3-5555-3800,[hidden],True,TP,1.839,1.2,1.2,3.137
138,International_Phone,True,phone,+81 90 1234 5678,[hidden],True,TP,1.045,1.0,1.1,1.705
139,International_Phone,True,phone,+81-90-1234-5678,[hidden],True,TP,1.197,1.2,1.2,1.708
140,International_Phone,True,phone,+81355553800,[hidden],True,TP,1.022,1.0,1.1,1.1
141,International_Phone,True,phone,+86 10 6552 9988,[hidden],True,TP,1.02,1.0,1.1,1.2
142,International_Phone,True,phone,+86-10-6552-9988,[hidden],True,TP,1.203,1.2,1.2,1.412
143,International_Phone,True,phone,+86 138 0013 8000,[hidden],True,TP,1.038,1.0,1.1,1.201
144,International_Phone,True,phone,+86-138-0013-8000,[hidden],True,TP,1.242,1.2,1.3,1.401
145,International_Phone,True,phone,+861065529988,[hidden],True,TP,1.056,1.1,1.1,1.202
146,International_Phone,True,phone,+49 89 2345 6789,[hidden],True,TP,1.022,1.0,1.1,1.41
147,International_Phone,True,phone,+1 312 555 0199,[hidden],True,TP,0.99,1.0,1.0,1.307
148,International_Phone,True,phone,+44 161 496 0123,[hidden],True,TP,1.071,1.0,1.1,2.3
149,International_Phone,True,phone,+65 6123 4567,[hidden],True,TP,0.973,1.0,1.0,1.404
150,International_Phone,True,phone,+61 3 9654 3210,[hidden],True,TP,1.001,1.0,1.0,1.209
151,Email_Address,True,email,technician.ac@gmail.com,[hidden],True,TP,0.84,0.8,0.9,2.1
152,Email_Address,True,email,user_123@yahoo.co.in,[hidden],True,TP,0.778,0.8,0.8,0.901
153,Email_Address,True,email,support@connect360.org,[hidden],True,TP,0.797,0.8,0.8,1.01
154,Email_Address,True,email,raj.kumar@outlook.com,[hidden],True,TP,0.794,0.8,0.81,1.009
155,Email_Address,True,email,service.chennai@urbancompany.com,[hidden],True,TP,0.807,0.8,0.8,1.012
156,Email_Address,True,email,plumbing_expert@hotmail.com,[hidden],True,TP,0.792,0.8,0.8,0.901
157,Email_Address,True,email,info@servicepro.in,[hidden],True,TP,0.797,0.8,0.9,1.0
158,Email_Address,True,email,contact@repairhub.io,[hidden],True,TP,0.803,0.8,0.9,0.9
159,Email_Address,True,email,mohan.electrician@fastmail.com,[hidden],True,TP,0.831,0.8,0.9,0.901
160,Email_Address,True,email,customercare@tatapower.co.in,[hidden],True,TP,0.798,0.8,0.8,1.003
161,Email_Address,True,email,admin@connect360-marketplace.com,[hidden],True,TP,0.825,0.8,0.9,1.306
162,Email_Address,True,email,deepak.sharma99@gmail.com,[hidden],True,TP,0.803,0.8,0.9,0.901
163,Email_Address,True,email,arun_v@sify.com,[hidden],True,TP,0.789,0.8,0.9,0.9
164,Email_Address,True,email,suresh.k@rediffmail.com,[hidden],True,TP,0.808,0.8,0.9,0.9
165,Email_Address,True,email,helpdesk@urbanclap.com,[hidden],True,TP,0.819,0.8,0.8,1.904
166,Email_Address,True,email,billing@homerepair.net,[hidden],True,TP,0.786,0.8,0.8,0.901
167,Email_Address,True,email,emergency@chennaicity.gov.in,[hidden],True,TP,1.397,1.2,1.8,3.112
168,Email_Address,True,email,ac_maintenance@daikinindia.com,[hidden],True,TP,0.82,0.8,0.9,1.003
169,Email_Address,True,email,anand+technician@gmail.com,[hidden],True,TP,0.842,0.8,0.9,2.001
170,Email_Address,True,email,support+priority@connect360.in,[hidden],True,TP,0.858,0.8,0.9,1.05
171,Email_Address,True,email,sales.south@carrier-midea.com,[hidden],True,TP,0.817,0.8,0.9,1.201
172,Email_Address,True,email,feedback@voltas.com,[hidden],True,TP,0.773,0.8,0.8,0.901
173,Email_Address,True,email,john.doe.carpenter@gmail.com,[hidden],True,TP,0.807,0.8,0.9,1.0
174,Email_Address,True,email,vijay_waterproof@yahoo.com,[hidden],True,TP,0.799,0.8,0.8,0.901
175,Email_Address,True,email,kavitha.painter@outlook.com,[hidden],True,TP,0.804,0.8,0.9,1.111
176,Email_Address,True,email,technician-adambakkam@gmail.com,[hidden],True,TP,0.825,0.8,0.9,1.801
177,Email_Address,True,email,worker_9944@connect360.in,[hidden],True,TP,0.798,0.8,0.9,0.901
178,Email_Address,True,email,dispatch@speedyplumb.co.uk,[hidden],True,TP,0.794,0.8,0.8,1.004
179,Email_Address,True,email,saravanan.m@iitm.ac.in,[hidden],True,TP,1.013,0.8,0.9,2.282
180,Email_Address,True,email,ravi.teja@pes.edu,[hidden],True,TP,0.782,0.8,0.8,0.901
181,Email_Address,True,email,contact.us@hvac-solutions.org,[hidden],True,TP,6.007,0.8,0.9,240.585
182,Email_Address,True,email,booking@coolairchennai.com,[hidden],True,TP,0.802,0.8,0.9,0.901
183,Email_Address,True,email,service@whirlpoolindia.com,[hidden],True,TP,0.846,0.8,0.9,2.001
184,Email_Address,True,email,care@lgindia.com,[hidden],True,TP,0.801,0.8,0.8,1.011
185,Email_Address,True,email,support@samsungcustomer.com,[hidden],True,TP,0.822,0.8,0.9,1.208
186,Email_Address,True,email,complaints@godrej.com,[hidden],True,TP,0.782,0.8,0.8,0.901
187,Email_Address,True,email,krishnan.subramanian@tcs.com,[hidden],True,TP,0.792,0.8,0.8,0.901
188,Email_Address,True,email,balaji.r@infosys.com,[hidden],True,TP,0.787,0.8,0.8,1.108
189,Email_Address,True,email,karthik.n@zoho.com,[hidden],True,TP,0.776,0.8,0.8,0.902
190,Email_Address,True,email,tech.support@swiggy.in,[hidden],True,TP,0.776,0.8,0.8,0.9
191,Email_Address,True,email,ops@zomato.com,[hidden],True,TP,0.815,0.8,0.8,1.9
192,Email_Address,True,email,contractor_chennai@live.com,[hidden],True,TP,0.788,0.8,0.8,0.901
193,Email_Address,True,email,help@urbanplumber.in,[hidden],True,TP,0.8,0.8,0.9,0.901
194,Email_Address,True,email,service@aquaguard.co.in,[hidden],True,TP,1.313,1.2,1.51,2.222
195,Email_Address,True,email,ro_repair@kentindia.com,[hidden],True,TP,0.793,0.8,0.9,1.011
196,Email_Address,True,email,electrician_velachery@gmail.com,[hidden],True,TP,0.869,0.8,0.9,2.0
197,Email_Address,True,email,ac_gasfill@adambakkam.in,[hidden],True,TP,0.813,0.8,0.9,1.705
198,Email_Address,True,email,enquiry@homerepairsindia.com,[hidden],True,TP,0.807,0.8,0.9,0.901
199,Email_Address,True,email,dispatch.mgr@connect360.internal,[hidden],True,TP,1.332,0.9,0.9,1.568
200,Email_Address,True,email,claims@homeassurance.co.in,[hidden],True,TP,0.805,0.8,0.9,0.902
201,Dialogue_PII_Embedded,True,mixed_dialogue,Please call me directly at 9876543210 to discuss the AC repair.,Please call me directly at [hidden] to discuss the AC repair.,True,TP,2.869,2.8,2.9,4.003
202,Dialogue_PII_Embedded,True,mixed_dialogue,You can reach the technician on +91 9123456789 after 6 PM.,You can reach the technician on [hidden] after 6 PM.,True,TP,2.584,2.5,2.7,3.8
203,Dialogue_PII_Embedded,True,mixed_dialogue,"My phone number is 9840012345, please share the live location.","My phone number is [hidden], please share the live location.",True,TP,2.855,2.8,2.9,4.1
204,Dialogue_PII_Embedded,True,mixed_dialogue,Kindly contact me at technician.ac@gmail.com with the quote.,Kindly contact me at [hidden] with the quote.,True,TP,2.25,2.2,2.3,3.101
205,Dialogue_PII_Embedded,True,mixed_dialogue,Call 987-654-3210 immediately if water starts overflowing.,Call [hidden] immediately if water starts overflowing.,True,TP,2.804,2.8,2.9,3.902
206,Dialogue_PII_Embedded,True,mixed_dialogue,I am available on +91-98765-43210 for gate security clearance.,I am available on [hidden] for gate security clearance.,True,TP,2.99,2.9,3.0,8.001
207,Dialogue_PII_Embedded,True,mixed_dialogue,Worker said to send WhatsApp to 9962012345 for spare parts receipt.,Worker said to send WhatsApp to [hidden] for spare parts receipt.,True,TP,2.969,2.9,3.0,4.002
208,Dialogue_PII_Embedded,True,mixed_dialogue,Please email the tax invoice to user_123@yahoo.co.in.,Please email the tax invoice to [hidden].,True,TP,2.903,2.2,3.61,8.102
209,Dialogue_PII_Embedded,True,mixed_dialogue,Dial +1 202 555 0143 if you need international billing support.,Dial [hidden] if you need international billing support.,True,TP,2.834,2.8,2.9,4.0
210,Dialogue_PII_Embedded,True,mixed_dialogue,You can reach our supervisor on 044-24567890 between 9am and 5pm.,You can reach our supervisor on [hidden] between 9am and 5pm.,True,TP,2.936,2.9,3.0,3.309
211,Dialogue_PII_Embedded,True,mixed_dialogue,Plumber's emergency contact is 8056012345.,Plumber's emergency contact is [hidden].,True,TP,2.29,2.2,2.3,3.501
212,Dialogue_PII_Embedded,True,mixed_dialogue,Send your address details to support@connect360.org.,Send your address details to [hidden].,True,TP,10.041,2.1,3.21,12.501
213,Dialogue_PII_Embedded,True,mixed_dialogue,The technician Mohan can be reached at 7358012345.,The technician Mohan can be reached at [hidden].,True,TP,7.945,2.6,3.32,239.399
214,Dialogue_PII_Embedded,True,mixed_dialogue,"If you want direct booking without fee, call 9443322110.","If you want direct booking without fee, call [hidden].",True,TP,3.311,2.7,2.8,4.795
215,Dialogue_PII_Embedded,True,mixed_dialogue,"Worker phone is +91 9789012345, call before coming.","Worker phone is [hidden], call before coming.",True,TP,2.413,2.3,2.4,4.132
216,Dialogue_PII_Embedded,True,mixed_dialogue,Reach out to customercare@tatapower.co.in for meter issues.,Reach out to [hidden] for meter issues.,True,TP,2.087,2.1,2.1,2.607
217,Dialogue_PII_Embedded,True,mixed_dialogue,My alternate mobile is 9600012345 in case first one is busy.,My alternate mobile is [hidden] in case first one is busy.,True,TP,2.723,2.7,2.8,3.108
218,Dialogue_PII_Embedded,True,mixed_dialogue,Share the photos of the pipe leak to plumber_expert@hotmail.com.,Share the photos of the pipe leak to [hidden].,True,TP,2.295,2.3,2.4,2.61
219,Dialogue_PII_Embedded,True,mixed_dialogue,"Technician arrived, please call him at 9381012345 to open gate.","Technician arrived, please call him at [hidden] to open gate.",True,TP,2.886,2.9,2.9,3.306
220,Dialogue_PII_Embedded,True,mixed_dialogue,Direct line for customer escalation is 080-23456789.,Direct line for customer escalation is [hidden].,True,TP,2.645,2.6,2.7,3.9
221,Dialogue_PII_Embedded,True,mixed_dialogue,Technician number: +91-89012-34567.,Technician number: [hidden].,True,TP,2.063,2.0,2.1,3.301
222,Dialogue_PII_Embedded,True,mixed_dialogue,Ping me at deepak.sharma99@gmail.com with your portfolio.,Ping me at [hidden] with your portfolio.,True,TP,2.123,2.1,2.2,2.901
223,Dialogue_PII_Embedded,True,mixed_dialogue,Contact the AC master technician directly: 9791012345.,Contact the AC master technician directly: [hidden].,True,TP,2.704,2.7,2.8,2.902
224,Dialogue_PII_Embedded,True,mixed_dialogue,WhatsApp me on 9444012345 with the video of the buzzing noise.,WhatsApp me on [hidden] with the video of the buzzing noise.,True,TP,2.991,2.8,3.81,5.3
225,Dialogue_PII_Embedded,True,mixed_dialogue,Send confirmation to booking@coolairchennai.com right away.,Send confirmation to [hidden] right away.,True,TP,2.227,2.2,2.3,2.802
226,Dialogue_PII_Embedded,True,mixed_dialogue,Call 9841012345 for immediate arrival.,Call [hidden] for immediate arrival.,True,TP,1.982,2.0,2.0,2.103
227,Dialogue_PII_Embedded,True,mixed_dialogue,Reach the carpenter at +91 63812 34567.,Reach the carpenter at [hidden].,True,TP,1.924,1.9,2.0,2.101
228,Dialogue_PII_Embedded,True,mixed_dialogue,Email the warranty card to service@whirlpoolindia.com.,Email the warranty card to [hidden].,True,TP,2.214,2.0,2.91,4.704
229,Dialogue_PII_Embedded,True,mixed_dialogue,"Customer phone number is 9842012345, please call for directions.","Customer phone number is [hidden], please call for directions.",True,TP,3.59,2.9,3.1,4.709
230,Dialogue_PII_Embedded,True,mixed_dialogue,Contact admin@connect360-marketplace.com to report abuse.,Contact [hidden] to report abuse.,True,TP,1.999,1.9,2.1,3.801
231,Dialogue_PII_Embedded,True,mixed_dialogue,"My brother will handle the keys, his cell is 9445012345.","My brother will handle the keys, his cell is [hidden].",True,TP,2.719,2.7,2.8,3.002
232,Dialogue_PII_Embedded,True,mixed_dialogue,Technician's personal number is +91 9884012345.,Technician's personal number is [hidden].,True,TP,2.425,2.3,2.4,3.941
233,Dialogue_PII_Embedded,True,mixed_dialogue,Drop a note to care@lgindia.com regarding PCB replacement.,Drop a note to [hidden] regarding PCB replacement.,True,TP,2.458,2.4,2.5,2.702
234,Dialogue_PII_Embedded,True,mixed_dialogue,Emergency line for gas leakage: 9940012345.,Emergency line for gas leakage: [hidden].,True,TP,2.285,2.3,2.3,3.306
235,Dialogue_PII_Embedded,True,mixed_dialogue,"Technician phone 09876543210, call when you reach the tower.","Technician phone [hidden], call when you reach the tower.",True,TP,2.786,2.8,2.8,3.206
236,Dialogue_PII_Embedded,True,mixed_dialogue,Email invoice copy to billing@homerepair.net.,Email invoice copy to [hidden].,True,TP,1.775,1.8,1.8,1.903
237,Dialogue_PII_Embedded,True,mixed_dialogue,Electrician contact: +91 91234 56789.,Electrician contact: [hidden].,True,TP,2.026,2.0,2.0,3.035
238,Dialogue_PII_Embedded,True,mixed_dialogue,Call +44 20 7946 0958 for UK customer coordination.,Call [hidden] for UK customer coordination.,True,TP,2.32,2.3,2.4,2.712
239,Dialogue_PII_Embedded,True,mixed_dialogue,Send technician ID card copy to info@servicepro.in.,Send technician ID card copy to [hidden].,True,TP,2.141,2.1,2.2,2.902
240,Dialogue_PII_Embedded,True,mixed_dialogue,You can ring me on 8901-234-567 if downstairs doorbell fails.,You can ring me on [hidden] if downstairs doorbell fails.,True,TP,2.756,2.7,2.8,3.109
